placeDcid,placeName,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit
zip/10001,10001,2011,12161,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2012,12473,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2013,12617,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2014,12638,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2015,13305,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2016,13520,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2017,13836,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2018,14141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2019,14746,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2020,15365,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2021,16580,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2022,16975,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2011,35286,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2012,35140,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2013,35273,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2014,35281,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2015,35691,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2016,35615,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2017,35803,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2018,35724,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2019,35921,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2020,36530,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2021,37713,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2022,39094,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2011,31308,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2012,31316,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2013,31235,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2014,31228,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2015,31575,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2016,31408,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2017,31083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2018,30876,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2019,30931,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2020,29977,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2021,30843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2022,30766,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2011,1813,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2012,1938,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2013,1974,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2014,2103,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2015,2082,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2016,2070,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2017,2044,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2018,2139,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2019,2264,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2020,2306,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2021,2760,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2022,2706,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2011,3590,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2012,4299,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2013,4903,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2014,5114,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2015,5254,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2016,5187,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2017,5442,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2018,5585,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2019,5889,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2020,5979,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2021,6358,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2022,6272,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2011,2026,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2012,2107,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2013,2000,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2014,2077,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2015,2155,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2016,2182,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2017,2167,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2018,2343,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2019,2329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2020,2219,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2021,2394,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2022,2422,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2011,2578,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2012,2825,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2013,2972,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2014,3038,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2015,3178,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2016,3209,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2017,3188,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
