Geographic Area,"April 1, 2020
Estimates Base",2020,2021,2022,2023
"Adams village, New York","1,694","1,688","1,698","1,686","1,678"
"Addison village, New York","1,608","1,604","1,589","1,576","1,564"
"Afton village, New York",801,800,793,792,786
"Airmont village, New York","10,135","10,065","10,133","10,148","10,163"
"Akron village, New York","2,912","2,909","2,903","2,893","2,883"
"Albany city, New York","99,239","98,682","100,710","100,884","101,228"
"Albion village, New York","5,665","5,642","5,711","5,754","5,730"
"Alden village, New York","2,605","2,603","2,602","2,589","2,594"
"Alexander village, New York",510,509,502,495,496
"Alexandria Bay village, New York",962,959,965,957,951
"Alfred village, New York","4,067","5,039","4,836","4,747","4,789"
"Allegany village, New York","1,594","1,593","1,581","1,566","1,555"
"Almond village, New York",405,404,402,400,398
"Altamont village, New York","1,668","1,665","1,657","1,646","1,639"
"Ames village, New York",140,140,140,139,138
"Amityville village, New York","9,540","9,463","9,524","9,586","9,577"
"Amsterdam city, New York","18,218","18,195","18,147","18,136","18,093"
"Andover village, New York",913,912,906,901,895
"Angelica village, New York",720,719,714,711,709
"Angola village, New York","2,050","2,047","2,042","2,028","2,021"
"Antwerp village, New York",518,516,519,516,512
"Arcade village, New York","1,957","1,950","1,951","1,935","1,925"
"Ardsley village, New York","5,090","5,071","5,020","4,950","4,916"
"Argyle village, New York",294,293,292,293,293
"Arkport village, New York",788,788,780,773,771
"Asharoken village, New York",594,593,605,603,602
"Athens village, New York","1,575","1,575","1,595","1,585","1,583"
"Atlantic Beach village, New York","1,708","1,704","1,703","1,695","1,697"
"Attica village, New York","2,489","2,481","2,482","2,460","2,447"
"Auburn city, New York","26,870","26,855","26,481","26,109","25,983"
"Aurora village, New York",619,667,642,606,623
"Avoca village, New York",858,856,847,840,835
"Avon village, New York","3,398","3,380","3,389","3,460","3,437"
"Babylon village, New York","12,191","12,168","12,221","12,164","12,106"
"Bainbridge village, New York","1,279","1,277","1,267","1,264","1,255"
"Baldwinsville village, New York","7,831","7,806","7,748","7,669","7,639"
"Ballston Spa village, New York","5,128","5,116","5,012","4,977","4,933"
"Barker village, New York",585,584,582,577,571
"Batavia city, New York","15,591","15,550","15,476","15,417","15,437"
"Bath village, New York","5,610","5,594","5,597","5,573","5,539"
"Baxter Estates village, New York","1,026","1,023","1,020","1,010","1,006"
"Bayville village, New York","6,790","6,768","6,753","6,704","6,683"
"Beacon city, New York","14,380","14,322","14,591","14,907","15,025"
"Bellerose village, New York","1,176","1,172","1,170","1,157","1,153"
"Belle Terre village, New York",785,784,786,784,785
"Bellport village, New York","2,197","2,195","2,203","2,195","2,195"
"Belmont village, New York",854,853,847,841,837
"Bemus Point village, New York",315,315,313,309,308
"Bergen village, New York","1,240","1,238","1,228","1,210","1,209"
"Binghamton city, New York","47,958","47,790","47,470","47,051","46,727"
"Black River village, New York","1,265","1,260","1,263","1,250","1,237"
"Blasdell village, New York","2,537","2,537","2,546","2,540","2,534"
"Bloomfield village, New York","1,323","1,322","1,321","1,310","1,298"
"Bloomingburg village, New York",985,984,994,986,980
"Bolivar village, New York","1,025","1,023","1,017","1,012","1,007"
"Boonville village, New York","2,043","2,032","2,029","2,022","2,007"
"Brewster village, New York","2,510","2,507","2,521","2,517","2,500"
"Briarcliff Manor village, New York","7,575","7,533","7,466","7,386","7,319"
"Brightwaters village, New York","3,188","3,182","3,196","3,177","3,169"
"Broadalbin village, New York","1,366","1,362","1,356","1,346","1,342"
"Brockport village, New York","7,117","7,113","7,098","7,140","7,111"
"Brocton village, New York","1,342","1,341","1,332","1,321","1,315"
"Bronxville village, New York","6,652","6,624","6,558","6,462","6,404"
"Brookville village, New York","2,954","2,950","2,942","2,942","2,947"
"Brownville village, New York",949,945,950,944,939
"Brushton village, New York",440,440,441,437,435
"Buchanan village, New York","2,299","2,290","2,268","2,234","2,215"
"Buffalo city, New York","278,290","277,551","277,707","275,762","274,678"
"Burdett village, New York",349,348,345,339,333
"Burke village, New York",166,166,168,166,165
"Caledonia village, New York","2,123","2,116","2,112","2,097","2,080"
"Cambridge village, New York","1,809","1,805","1,801","1,802","1,796"
"Camden village, New York","2,202","2,198","2,178","2,158","2,143"
"Camillus village, New York","1,225","1,223","1,216","1,201","1,271"
"Canajoharie village, New York","2,080","2,078","2,075","2,059","2,053"
"Canandaigua city, New York","10,570","10,537","10,567","10,532","10,480"
"Canaseraga village, New York",466,465,462,460,458
"Canastota village, New York","4,557","4,550","4,526","4,488","4,462"
