placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person
zip/10001,10001,2011,21097,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2012,20579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2013,21966,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2014,22767,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2015,23537,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2016,23332,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2017,23947,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2018,22924,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2019,24117,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2020,25026,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2021,26966,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10001,10001,2022,27004,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2011,81335,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2012,80323,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2013,82191,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2014,79894,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2015,80736,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2016,78096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2017,77925,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2018,74993,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2019,74479,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2020,74363,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2021,76807,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2022,76518,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2011,55190,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
