placeDcid,placeName,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
zip/10001,10001,2021,2269,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10001,10001,2022,2625,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10002,10002,2021,1047,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10002,10002,2022,1136,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10003,10003,2021,2478,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10003,10003,2022,2731,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10004,10004,2021,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10004,10004,2022,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10005,10005,2021,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10005,10005,2022,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10006,10006,2021,3398,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10006,10006,2022,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10007,10007,2021,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10007,10007,2022,3501,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10009,10009,2021,1740,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10009,10009,2022,1832,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10010,10010,2021,2513,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10010,10010,2022,2899,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10011,10011,2021,2301,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10011,10011,2022,2637,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10012,10012,2021,2406,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10012,10012,2022,2624,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10013,10013,2021,1951,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10013,10013,2022,2113,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10014,10014,2021,2587,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10014,10014,2022,2852,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10016,10016,2021,2793,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10016,10016,2022,3048,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10017,10017,2021,2606,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10017,10017,2022,2854,https://data.census.gov/table/ACSDT5Y2022.B25031
zip/10018,10018,2021,3291,https://data.census.gov/table/ACSDT5Y2022.B25031
